"週間 USEN HIT J-POPランキング","A","26"
"週間 USEN HIT 洋楽ランキング","A","30"
"週間 USEN HIT CLASSIC ROCKランキング","C","66"
"週間 USEN HIT J-POP／洋楽ランキング","A","51"
"週間 USEN HIT 演歌／歌謡曲ランキング","A","34"
"週間 USEN HIT アニメ・ランキング","A","31"
"週間 USEN HIT K-POPランキング","A","50"
"週間 USEN HIT インディーズ・ランキング","A","25"
"週間 オリコンランキング","A","29"
"週間 レコチョクランキング","A","32"
"週間 レコチョク 洋楽ランキング","C","63"
"週間 Billboard 全米チャート","A","28"
"週間 Billboard JAPANチャート","C","37"
"週間 Billboard R＆B／HIP HOPチャート","C","64"
"USENリクエスト J-POP HOT30 ","A","24"
"USENリクエスト 演歌／歌謡曲 HOT20 ","A","27"
"最新☆J-POP ","B","01"
"最新☆洋楽","B","30"
"最新☆J-POP＆洋楽","I","01"
"最新☆インディーズ","C","27"
"最新☆TV＆CINEMA ","A","52"
"MUSIC＆TALK WAGON ～音バナ～ ","C","43"
"NEW DISC J-POP ","A","33"
"NEW DISC 洋楽","A","35"
"NEW DISC ROCK ","C","48"
"NEW DISC BLACK MUSIC ","C","49"
"NEW DISC JAZZ ","C","50"
"NEW DISC HEALING ","C","47"
"エヴァーグリーン J-POP／洋楽","B","57"
"アーティスト特集 MONTHLY J-POP ","A","53"
"アーティスト特集 WEEKLY J-POP ","A","54"
"アーティスト特集 WEEKLY J-POP 2 ","B","65"
"アーティスト特集 MONTHLY 演歌／歌謡曲","C","62"
"アーティスト特集 MONTHLY 洋楽","A","55"
"アーティスト特集 WEEKLY 洋楽","A","56"
"美空ひばり","A","41"
"石原裕次郎","A","42"
"サザンオールスターズ","A","43"
"松任谷由実","A","44"
"矢沢永吉","D","64"
"EXILE TRIBE ","B","72"
"ザ・ビートルズ","B","23"
"エルヴィス・プレスリー","B","22"
"カーペンターズ","B","41"
"エリック・クラプトン","B","42"
"ボブ・ディラン","B","43"
"ザ・ローリング・ストーンズ","B","44"
"マイケル・ジャクソン","B","45"
"クラシック 作曲家","A","45"
"■ モーツァルト","B","40"
"■ ショパン","A","46"
"■ バッハ","A","47"
"■ ベートーヴェン","A","48"
"■ ブラームス","A","49"
"週間 USEN HIT J-POPランキング","A","26"
"週間 USEN HIT J-POP／洋楽ランキング","A","51"
"週間 USEN HIT K-POPランキング","A","50"
"週間 USEN HIT インディーズ・ランキング","A","25"
"週間 オリコンランキング","A","29"
"週間 レコチョクランキング","A","32"
"週間 Billboard JAPANチャート","C","37"
"USENリクエスト J-POP HOT30 ","A","24"
"MUSIC＆TALK WAGON ～音バナ～ ","C","43"
"最新☆J-POP ","B","01"
"最新☆J-POP＆洋楽","I","01"
"最新☆インディーズ","C","27"
"最新☆TV＆CINEMA ","A","52"
"J-POP 2010's Hits ","B","05"
"J-POP 2000's Hits ","B","34"
"J-POP 90's Hits ","B","13"
"J-POP 80's Hits ","B","12"
"J-POP 70's Hits ","B","11"
"ヤング☆ナツメロ","A","36"
"歌謡☆ヒットパレード","A","06"
"R30 Hits ","A","21"
"R40 Hits ","A","22"
"R50 Hits ","A","23"
"Happy Wedding Selection ","D","44"
"チャートタイムマシン J-POP ","D","47"
"J-POP ステーション","B","71"
"季節のJ-POPベスト・セレクション","C","01"
"J-R＆B ","B","56"
"J-HIP HOP ","B","54"
"J-ROCK ","B","02"
"ジャパニーズ・レゲエ","B","47"
"VISUAL ROCK ","D","58"
"アイドル","B","04"
"ボーカロイド・ミュージック","B","61"
"J-DANCE ","C","10"
"CLUB PARTY J-POP ","I","03"
"J-LOUNGE ","C","09"
