"週間 USEN HIT J-POPランキング","A","26"","最新／ヒット・ランキング／NEW DISC"
"週間 USEN HIT 洋楽ランキング","A","30"","最新／ヒット・ランキング／NEW DISC"
"週間 USEN HIT CLASSIC ROCKランキング","C","66"","最新／ヒット・ランキング／NEW DISC"
"週間 USEN HIT J-POP／洋楽ランキング","A","51"","最新／ヒット・ランキング／NEW DISC"
"週間 USEN HIT 演歌／歌謡曲ランキング","A","34"","最新／ヒット・ランキング／NEW DISC"
"週間 USEN HIT アニメ・ランキング","A","31"","最新／ヒット・ランキング／NEW DISC"
"週間 USEN HIT K-POPランキング","A","50"","最新／ヒット・ランキング／NEW DISC"
"週間 USEN HIT インディーズ・ランキング","A","25"","最新／ヒット・ランキング／NEW DISC"
"週間 オリコンランキング","A","29"","最新／ヒット・ランキング／NEW DISC"
"週間 レコチョクランキング","A","32"","最新／ヒット・ランキング／NEW DISC"
"週間 レコチョク 洋楽ランキング","C","63"","最新／ヒット・ランキング／NEW DISC"
"週間 Billboard 全米チャート","A","28"","最新／ヒット・ランキング／NEW DISC"
"週間 Billboard JAPANチャート","C","37"","最新／ヒット・ランキング／NEW DISC"
"週間 Billboard R＆B／HIP HOPチャート","C","64"","最新／ヒット・ランキング／NEW DISC"
"USENリクエスト J-POP HOT30 ","A","24"","最新／ヒット・ランキング／NEW DISC"
"USENリクエスト 演歌／歌謡曲 HOT20 ","A","27"","最新／ヒット・ランキング／NEW DISC"
"最新☆J-POP ","B","01"","最新／ヒット・ランキング／NEW DISC"
"最新☆洋楽","B","30"","最新／ヒット・ランキング／NEW DISC"
"最新☆J-POP＆洋楽","I","01"","最新／ヒット・ランキング／NEW DISC"
"最新☆インディーズ","C","27"","最新／ヒット・ランキング／NEW DISC"
"最新☆TV＆CINEMA ","A","52"","最新／ヒット・ランキング／NEW DISC"
"MUSIC＆TALK WAGON ～音バナ～ ","C","43"","最新／ヒット・ランキング／NEW DISC"
"NEW DISC J-POP ","A","33"","最新／ヒット・ランキング／NEW DISC"
"NEW DISC 洋楽","A","35"","最新／ヒット・ランキング／NEW DISC"
"NEW DISC ROCK ","C","48"","最新／ヒット・ランキング／NEW DISC"
"NEW DISC BLACK MUSIC ","C","49"","最新／ヒット・ランキング／NEW DISC"
"NEW DISC JAZZ ","C","50"","最新／ヒット・ランキング／NEW DISC"
"NEW DISC HEALING ","C","47"","最新／ヒット・ランキング／NEW DISC"
"エヴァーグリーン J-POP／洋楽","B","57"","アーティスト・セレクション"
"アーティスト特集 MONTHLY J-POP ","A","53"","アーティスト・セレクション"
"アーティスト特集 WEEKLY J-POP ","A","54"","アーティスト・セレクション"
"アーティスト特集 WEEKLY J-POP 2 ","B","65"","アーティスト・セレクション"
"アーティスト特集 MONTHLY 演歌／歌謡曲","C","62"","アーティスト・セレクション"
"アーティスト特集 MONTHLY 洋楽","A","55"","アーティスト・セレクション"
"アーティスト特集 WEEKLY 洋楽","A","56"","アーティスト・セレクション"
"美空ひばり","A","41"","アーティスト・セレクション"
"石原裕次郎","A","42"","アーティスト・セレクション"
"サザンオールスターズ","A","43"","アーティスト・セレクション"
"松任谷由実","A","44"","アーティスト・セレクション"
"矢沢永吉","D","64"","アーティスト・セレクション"
"EXILE TRIBE ","B","72"","アーティスト・セレクション"
"ザ・ビートルズ","B","23"","アーティスト・セレクション"
"エルヴィス・プレスリー","B","22"","アーティスト・セレクション"
"カーペンターズ","B","41"","アーティスト・セレクション"
"エリック・クラプトン","B","42"","アーティスト・セレクション"
"ボブ・ディラン","B","43"","アーティスト・セレクション"
"ザ・ローリング・ストーンズ","B","44"","アーティスト・セレクション"
"マイケル・ジャクソン","B","45"","アーティスト・セレクション"
"クラシック 作曲家","A","45"","アーティスト・セレクション"
"■ モーツァルト","B","40"","アーティスト・セレクション"
"■ ショパン","A","46"","アーティスト・セレクション"
"■ バッハ","A","47"","アーティスト・セレクション"
"■ ベートーヴェン","A","48"","アーティスト・セレクション"
"■ ブラームス","A","49"","アーティスト・セレクション"
"週間 USEN HIT J-POPランキング","A","26"","J-POP"
"週間 USEN HIT J-POP／洋楽ランキング","A","51"","J-POP"
"週間 USEN HIT K-POPランキング","A","50"","J-POP"
"週間 USEN HIT インディーズ・ランキング","A","25"","J-POP"
"週間 オリコンランキング","A","29"","J-POP"
"週間 レコチョクランキング","A","32"","J-POP"
"週間 Billboard JAPANチャート","C","37"","J-POP"
"USENリクエスト J-POP HOT30 ","A","24"","J-POP"
"MUSIC＆TALK WAGON ～音バナ～ ","C","43"","J-POP"
"最新☆J-POP ","B","01"","J-POP"
"最新☆J-POP＆洋楽","I","01"","J-POP"
"最新☆インディーズ","C","27"","J-POP"
"最新☆TV＆CINEMA ","A","52"","J-POP"
"J-POP 2010's Hits ","B","05"","J-POP"
"J-POP 2000's Hits ","B","34"","J-POP"
"J-POP 90's Hits ","B","13"","J-POP"
"J-POP 80's Hits ","B","12"","J-POP"
"J-POP 70's Hits ","B","11"","J-POP"
"ヤング☆ナツメロ","A","36"","J-POP"
"歌謡☆ヒットパレード","A","06"","J-POP"
"R30 Hits ","A","21"","J-POP"
"R40 Hits ","A","22"","J-POP"
"R50 Hits ","A","23"","J-POP"
"Happy Wedding Selection ","D","44"","J-POP"
"チャートタイムマシン J-POP ","D","47"","J-POP"
"J-POP ステーション","B","71"","J-POP"
"季節のJ-POPベスト・セレクション","C","01"","J-POP"
"J-R＆B ","B","56"","J-POP"
"J-HIP HOP ","B","54"","J-POP"
"J-ROCK ","B","02"","J-POP"
"ジャパニーズ・レゲエ","B","47"","J-POP"
"VISUAL ROCK ","D","58"","J-POP"
"アイドル","B","04"","J-POP"
"ボーカロイド・ミュージック","B","61"","J-POP"
"J-DANCE ","C","10"","J-POP"
"CLUB PARTY J-POP ","I","03"","J-POP"
"J-LOUNGE ","C","09"","J-POP"
"Kawaii J-POP ","I","04"","J-POP"
"ひだまり J-POP ","C","51"","J-POP"
"アコースティック J-POP ","I","05"","J-POP"
"ラヴバラード J-POP ","C","12"","J-POP"
"ラヴソング J-POP（ ミドル～アップ） ","C","28"","J-POP"
"ホットドライヴ J-POP ","C","14"","J-POP"
"GIRLS J-POP ","I","02"","J-POP"
"カヴァー・ソングス","C","40"","J-POP"
"大人のJ-POPカヴァー","B","63"","J-POP"
"Age Free Music ～大人の音楽～ ","B","55"","J-POP"
"J-A.O.R. ～ニューミュージック～ ","C","56"","J-POP"
"オキナワン・ポップス","I","38"","J-POP"
"音楽と人","B","46"","J-POP"
"サザンオールスターズ","A","43"","J-POP"
"松任谷由実","A","44"","J-POP"
"矢沢永吉","D","64"","J-POP"
"EXILE TRIBE ","B","72"","J-POP"
"エヴァーグリーン J-POP／洋楽","B","57"","J-POP"
"アーティスト特集 MONTHLY J-POP ","A","53"","J-POP"
